"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,9,"3",7,11,91,"norm",15,-84,56,1264.37867844,1,1
"distr_stats",1,"F",26,1,9,"4",7,34,91,"norm",15,-84,56,717.760968124,1,1
"distr_stats",1,"F",26,1,9,"5",7,30,91,"norm",15,-84,56,1139.248151,1,1
"distr_stats",1,"F",26,1,10,"0",48,13,151,"norm",10,77,-43,748.852382854,1,1
"distr_stats",1,"F",26,1,10,"1",48,12,151,"norm",10,77,-43,576.891284942,1,1
"distr_stats",1,"F",26,1,10,"2",48,19,151,"norm",10,77,-43,576.911812335,1,1
"distr_stats",1,"F",26,1,10,"3",48,35,151,"norm",10,77,-43,561.165516637,1,1
"distr_stats",1,"F",26,1,10,"4",48,27,151,"norm",10,77,-43,576.889499951,1,1
"distr_stats",1,"F",26,1,10,"5",48,18,151,"norm",10,77,-43,545.753014205,1,1
"distr_stats",1,"F",26,1,10,"6",48,27,151,"norm",10,77,-43,592.594294615,1,1
"distr_stats",1,"F",26,1,11,"0",164,10,51,"norm",15,-67,13,655.285400184,1,1
"distr_stats",1,"F",26,1,11,"1",164,12,51,"norm",15,-67,13,811.514928572,0,1
"distr_stats",1,"F",26,1,11,"2",164,2,51,"norm",15,-67,13,514.273810239,1,0
"distr_stats",1,"F",26,1,11,"3",164,25,51,"norm",15,-67,13,780.134345344,1,1
"distr_stats",1,"F",26,1,11,"4",164,32,51,"norm",15,-67,13,780.053574514,1,1
"distr_stats",1,"F",26,1,11,"5",164,5,51,"norm",15,-67,13,686.509796723,1,1
"distr_stats",1,"F",26,1,12,"0",42,27,151,"norm",10,71,-9,1264.4924716,1,1
"distr_stats",1,"F",26,1,12,"1",42,21,151,"norm",10,71,-9,624.027535069,1,1
"distr_stats",1,"F",26,1,12,"2",42,20,151,"norm",10,71,-9,639.366406633,1,1
"distr_stats",1,"F",26,1,12,"3",42,25,151,"norm",10,71,-9,576.79534169,1,1
"distr_stats",1,"F",26,1,12,"4",42,8,151,"norm",10,71,-9,607.928703702,1,1
"distr_stats",1,"F",26,1,12,"5",42,31,151,"norm",10,71,-9,670.357415635,1,1
"distr_stats",1,"F",26,1,13,"0",129,29,51,"norm",15,78,-22,608.23125963,1,1
"distr_stats",1,"F",26,1,13,"1",129,10,51,"norm",15,78,-22,576.679317293,1,1
"distr_stats",1,"F",26,1,13,"2",129,22,51,"norm",15,78,-22,530.051343275,1,1
"distr_stats",1,"F",26,1,13,"3",129,34,51,"norm",15,78,-22,576.888161208,1,1
"distr_stats",1,"F",26,1,13,"4",129,29,51,"norm",15,78,-22,858.116127729,1,1
"distr_stats",1,"F",26,1,13,"5",129,17,51,"norm",15,78,-22,577.006863091,1,1
"distr_stats",1,"F",26,1,14,"0",144,32,31,"norm",5,-67,-87,638.984864866,1,1
"distr_stats",1,"F",26,1,14,"1",144,1,31,"norm",5,-67,-87,529.911221503,1,1
"distr_stats",1,"F",26,1,14,"2",144,22,31,"norm",5,-67,-87,530.260633438,1,1
"distr_stats",1,"F",26,1,14,"3",144,33,31,"norm",5,-67,-87,561.169086619,1,1
"distr_stats",1,"F",26,1,14,"4",144,11,31,"norm",5,-67,-87,576.951528379,1,1
"distr_stats",1,"F",26,1,14,"5",144,34,31,"norm",5,-67,-87,592.490318905,1,1
"distr_stats",1,"F",26,1,15,"0",112,23,31,"norm",15,81,81,639.840767919,1,1
"distr_stats",1,"F",26,1,15,"1",112,17,31,"norm",15,81,81,764.467481733,1,1
"distr_stats",1,"F",26,1,15,"2",112,35,31,"norm",15,81,81,530.24099854,1,1
"distr_stats",1,"F",26,1,15,"3",112,15,31,"norm",15,81,81,698.917713514,1,1
"distr_stats",1,"F",26,1,15,"4",112,30,31,"norm",15,81,81,608.05231431,1,1
"distr_stats",1,"F",26,1,15,"5",112,14,31,"norm",15,81,81,654.942235717,1,1
"distr_stats",1,"F",26,1,15,"6",112,24,31,"norm",15,81,81,623.823599878,1,1
"distr_stats",1,"F",26,1,16,"0",117,4,51,"norm",10,66,86,733.01282139,1,1
"distr_stats",1,"F",26,1,16,"1",117,34,51,"norm",10,66,86,514.319327503,1,1
"distr_stats",1,"F",26,1,16,"2",117,8,51,"norm",10,66,86,530.037509597,1,1
"distr_stats",1,"F",26,1,16,"3",117,23,51,"norm",10,66,86,574.645320359,1,1
"distr_stats",1,"F",26,1,16,"4",117,13,51,"norm",10,66,86,608.04071187,1,1
"distr_stats",1,"F",26,1,16,"5",117,20,51,"norm",10,66,86,686.682048329,1,1
"distr_stats",1,"F",26,1,17,"0",112,7,11,"norm",5,-79,61,529.717996257,1,1
"distr_stats",1,"F",26,1,17,"1",112,33,11,"norm",5,-79,61,545.440640828,1,1
"distr_stats",1,"F",26,1,17,"2",112,7,11,"norm",5,-79,61,574.135259259,1,1
"distr_stats",1,"F",26,1,17,"3",112,7,11,"norm",5,-79,61,686.52006042,1,1
"distr_stats",1,"F",26,1,17,"4",112,29,11,"norm",5,-79,61,467.053665548,1,1
"distr_stats",1,"F",26,1,17,"5",112,29,11,"norm",5,-79,61,514.253282846,1,1
"distr_stats",1,"F",26,1,17,"6",112,25,11,"norm",5,-79,61,514.382248426,1,1
"distr_stats",1,"F",26,1,18,"0",86,15,151,"norm",15,-65,75,1248.92556747,1,1
"distr_stats",1,"F",26,1,18,"1",86,13,151,"norm",15,-65,75,607.742172171,1,1
"distr_stats",1,"F",26,1,18,"2",86,30,151,"norm",15,-65,75,1920.60686809,1,1
"distr_stats",1,"F",26,1,18,"3",86,8,151,"norm",15,-65,75,1092.45417284,1,1
"distr_stats",1,"F",26,1,18,"4",86,30,151,"norm",15,-65,75,670.975468674,1,1
"distr_stats",1,"F",26,1,18,"5",86,5,151,"norm",15,-65,75,842.440339164,1,1
"distr_stats",1,"F",26,1,18,"6",86,21,151,"norm",15,-65,75,623.961490412,1,1
"distr_stats",1,"F",26,1,19,"0",82,25,11,"norm",5,71,-69,686.574948885,1,1
"distr_stats",1,"F",26,1,19,"1",82,25,11,"norm",5,71,-69,467.465552158,1,1
"distr_stats",1,"F",26,1,19,"2",82,19,11,"norm",5,71,-69,545.396462307,1,1
"distr_stats",1,"F",26,1,19,"3",82,30,11,"norm",5,71,-69,654.986860485,1,1
"distr_stats",1,"F",26,1,19,"4",82,31,11,"norm",5,71,-69,764.411700773,1,1
"distr_stats",1,"F",26,1,20,"0",122,18,51,"norm",15,71,-69,530.42574508,1,1
"distr_stats",1,"F",26,1,20,"1",122,7,51,"norm",15,71,-69,717.818087827,0,1
"distr_stats",1,"F",26,1,20,"2",122,4,51,"norm",15,71,-69,451.887045589,0,0
"distr_stats",1,"F",26,1,20,"3",122,29,51,"norm",15,71,-69,467.81362535,1,0
"distr_stats",1,"F",26,1,20,"4",122,15,51,"norm",15,71,-69,826.697613448,1,1
"distr_stats",1,"F",26,1,21,"0",62,10,171,"norm",5,71,11,592.791982338,1,1
"distr_stats",1,"F",26,1,21,"1",62,19,171,"norm",5,71,11,655.334041182,1,1
"distr_stats",1,"F",26,1,21,"2",62,5,171,"norm",5,71,11,576.944834663,1,1
"distr_stats",1,"F",26,1,21,"3",62,10,171,"norm",5,71,11,639.541781972,1,1
"distr_stats",1,"F",26,1,21,"4",62,5,171,"norm",5,71,11,530.195481276,1,1
"distr_stats",1,"F",26,1,22,"0",30,15,111,"norm",15,-81,39,717.616383875,1,1
"distr_stats",1,"F",26,1,22,"1",30,10,111,"norm",15,-81,39,608.513734413,1,1
"distr_stats",1,"F",26,1,22,"2",30,19,111,"norm",15,-81,39,623.972646604,1,1
"distr_stats",1,"F",26,1,22,"3",30,24,111,"norm",15,-81,39,576.841751449,1,1
"distr_stats",1,"F",26,1,22,"4",30,23,111,"norm",15,-81,39,592.793321081,1,1
"distr_stats",1,"F",26,1,22,"5",30,22,111,"norm",15,-81,39,623.749969011,1,1
"distr_stats",1,"F",26,1,23,"0",83,24,151,"norm",10,-68,-28,561.630506721,1,1
"distr_stats",1,"F",26,1,23,"1",83,28,151,"norm",10,-68,-28,561.593021916,1,1
"distr_stats",1,"F",26,1,23,"2",83,21,151,"norm",10,-68,-28,733.027101316,1,1
"distr_stats",1,"F",26,1,23,"3",83,18,151,"norm",10,-68,-28,592.496566372,1,1
"distr_stats",1,"F",26,1,23,"4",83,27,151,"norm",10,-68,-28,561.747869862,1,1
"distr_stats",1,"F",26,1,23,"5",83,27,151,"norm",10,-68,-28,561.538133451,1,1
"distr_stats",1,"F",26,1,24,"0",9,34,71,"norm",15,-62,38,670.595265649,1,1
"distr_stats",1,"F",26,1,24,"1",9,11,71,"norm",15,-62,38,1014.43088942,1,1
"distr_stats",1,"F",26,1,24,"2",9,28,71,"norm",15,-62,38,1514.52415519,1,1
"distr_stats",1,"F",26,1,24,"3",9,7,71,"norm",15,-62,38,639.365514138,1,1
"distr_stats",1,"F",26,1,24,"4",9,19,71,"norm",15,-62,38,936.260790517,1,1
"distr_stats",1,"F",26,1,24,"5",9,30,71,"norm",15,-62,38,561.470750051,0,1
"distr_stats",1,"F",26,1,25,"0",175,9,71,"norm",5,-76,-76,561.501541141,1,0
"distr_stats",1,"F",26,1,25,"1",175,24,71,"norm",5,-76,-76,655.018097823,1,1
"distr_stats",1,"F",26,1,25,"2",175,33,71,"norm",5,-76,-76,592.549669846,1,1
"distr_stats",1,"F",26,1,25,"3",175,35,71,"norm",5,-76,-76,545.266604232,1,1
"distr_stats",1,"F",26,1,25,"4",175,14,71,"norm",5,-76,-76,764.420625727,1,1
"distr_stats",1,"F",26,1,26,"0",123,30,51,"norm",15,72,52,498.289218279,1,1
"distr_stats",1,"F",26,1,26,"1",123,18,51,"norm",15,72,52,561.334644509,1,1
"distr_stats",1,"F",26,1,26,"2",123,0,51,"norm",15,72,52,593.090522037,1,1
"distr_stats",1,"F",26,1,26,"3",123,22,51,"norm",15,72,52,561.522068535,1,1
"distr_stats",1,"F",26,1,26,"4",123,22,51,"norm",15,72,52,498.850597863,1,1
"distr_stats",1,"F",26,1,26,"5",123,18,51,"norm",15,72,52,701.99459128,1,1
"distr_stats",1,"F",26,1,27,"0",142,21,31,"norm",5,-69,-89,624.109198395,1,1
"distr_stats",1,"F",26,1,27,"1",142,30,31,"norm",5,-69,-89,701.655889289,1,1
"distr_stats",1,"F",26,1,27,"2",142,21,31,"norm",5,-69,-89,561.17845782,1,1
"distr_stats",1,"F",26,1,27,"3",142,24,31,"norm",5,-69,-89,701.625990695,1,1
"distr_stats",1,"F",26,1,27,"4",142,26,31,"norm",5,-69,-89,811.381946763,1,1
"distr_stats",1,"F",26,1,28,"0",77,34,151,"norm",15,-74,46,1701.4126843,1,1
"distr_stats",1,"F",26,1,28,"1",77,18,151,"norm",15,-74,46,655.539761363,1,1
"distr_stats",1,"F",26,1,28,"2",77,1,151,"norm",15,-74,46,701.7982423,0,1
"distr_stats",1,"F",26,1,28,"3",77,18,151,"norm",15,-74,46,560.956226474,1,0
"distr_stats",1,"F",26,1,28,"4",77,35,151,"norm",15,-74,46,795.364778722,1,1
"distr_stats",1,"F",26,1,28,"5",77,35,151,"norm",15,-74,46,1123.62546591,1,1
"distr_stats",1,"F",26,1,28,"6",77,10,151,"norm",15,-74,46,1185.93458346,1,1
"distr_stats",1,"F",26,1,29,"0",178,22,71,"norm",10,-73,27,1248.9773322,0,1
"distr_stats",1,"F",26,1,29,"1",178,16,71,"norm",10,-73,27,498.555181898,1,0
"distr_stats",1,"F",26,1,29,"2",178,28,71,"norm",10,-73,27,686.233569408,1,1
"distr_stats",1,"F",26,1,29,"3",178,10,71,"norm",10,-73,27,717.849771412,1,1
"distr_stats",1,"F",26,1,29,"4",178,14,71,"norm",10,-73,27,2018.62115516,0,1
